#algoritmo,instancia,tempo(ms)
quicksort,20000,1358.33
heapsort,20000,0.662
radixsort,20000,28.106
quicksort,40000,5215.6
heapsort,40000,1.318
radixsort,40000,52.292
quicksort,60000,11606.9
heapsort,60000,2.19
radixsort,60000,70.12
quicksort,80000,20591.3
heapsort,80000,2.698
radixsort,80000,90.08
quicksort,100000,32139.2
heapsort,100000,3.126
radixsort,100000,104.466
quicksort,120000,46304.3
heapsort,120000,3.488
radixsort,120000,120.878
